table_name,field_name,language,field_value,translation
stops,stop_name,ar,Kempinski Hotel (Ring Rd.),فندق كمبينسكي (الطريق الدائري)
stops,stop_name,ar,Salam Nahda,سلام النهضة
stops,stop_name,ar,Ahmed Fakhry and Autostrad,احمد فخري مع  اوتوستراد
stops,stop_name,ar,Police Hospital (Al Tayaran St.),مستشفى الشرطة (شارع الطيران )
stops,stop_name,ar,Al Khosous,الخصوص
stops,stop_name,ar,Ezbet Al Baydaa Steps (Ring Rd.),سلالم عزبة البيضاء (الطريق الدائري)
stops,stop_name,ar,Al Warraq Station,موقف الوراق
stops,stop_name,ar,Al Warraq Bus Station,محطة الوراق للحافلات
stops,stop_name,ar,Fayed Desert Rd. Exit to Madinaty,مخرج مدينتي من طريق فايد الصجراوي
stops,stop_name,ar,Obour Tunnel,نفق العبور
stops,stop_name,ar,Obour Market - South,سوق العبور البوابة الجنوبية
stops,stop_name,ar,Obour Market station,موقف سوق العبور
stops,stop_name,ar,Obour Market,موقف سوق العبور
stops,stop_name,ar,Central Security Camp,معسكر الأمن المركزي
stops,stop_name,ar,El Warsha (Ezbet Al Nakhl),الورشة (عزبة النخل)
stops,stop_name,ar,Motseian,متسيان
stops,stop_name,ar,Wizarat District (New Administrative Capital),حي الوزارات (العاصمة الإدارية الجديدة)
stops,stop_name,ar,Misr Sudan (Nasr City),مصر السودان (مدينة نصر)
stops,stop_name,ar,Ibrahim Bek,إبراهيم بك
stops,stop_name,ar,Al Maqreezy St. & Gesr Al Suez St.,شارع المقريزي & شارع جسر السويس
stops,stop_name,ar,Koleyet Al Banat Metro,مترو كلية البنات
stops,stop_name,ar,Al Geish Square,ميدان الجيش
stops,stop_name,ar,Abdo Basha,عبده باشا
stops,stop_name,ar,Air Force Hospital (Al Waili),مستشفى القوات الجوية - الوايلي
stops,stop_name,ar,Concord Al Salam Hotel (Gesr Al Suez),فندق كونكورد السلام (جسر السويس)
stops,stop_name,ar,Tereat Al Gabal St. (Al Horeyya St.),شارع ترعة الجبل ( شارع الحرية)
stops,stop_name,ar,Bus Stop 43 (Al Matareyya),موقف الحافلات 43 (المطرية)
stops,stop_name,ar,El Nasr English School (Heliopolis),مدرسة النصر الإنجليزية (مصر الجديدة)
stops,stop_name,ar,Ibn Al Hakam Square (Heliopolis),ميدان ابن الحكم (هليوبوليس)
stops,stop_name,ar,Al Zatoun School (Heliopolis),مدرسة الزيتون ( هليوبوليس)
stops,stop_name,ar,Heliopolis Central (Gesr Al Suez),سنترال هليوبوليس ( جسر السويس )
stops,stop_name,ar,Faculty of Agriculture - Ain Shams University,كلية الزراعة - جامعة عين شمس
stops,stop_name,ar,Al Aziz Bellah (Gesr Al Suez),العزيز بالله ( جسر السويس )
stops,stop_name,ar,Manshiyat Al Bakry General Hospital,مستشفى منشية البكري العام
stops,stop_name,ar,10th of Ramadan City,مدينة العاشر من رمضان
stops,stop_name,ar,Mafareq,المفارق
stops,stop_name,ar,Police Training,المعسكر
stops,stop_name,ar,Isbiko Station,موقف اسبيكو
stops,stop_name,ar,Hafez Pharmacy,صيدلية وائل حافظ
stops,stop_name,ar,Salam Station (10th of Ramadan Station),موقف السلام (موقف العاشر)
stops,stop_name,ar,Ataba,العتبة
stops,stop_name,ar,Kobry Orabi,كوبري عرابي
stops,stop_name,ar,Roxy,روكسي
stops,stop_name,ar,26th of July Corridor & Alex Desert Rd.,المحور مع اسكندرية الصحراوي
stops,stop_name,ar,Roz Al Youssef Magazine (Garden City),مجلة روز اليوسف ( جاردن سيتي)
stops,stop_name,ar,Roz Al Youssef Magazine - Garden City,مجلة روز اليوسف ( جاردن سيتي)
stops,stop_name,ar,Al Masanea Rd. & Nile Corniche,شارع المصانع مع كورنيش النيل
stops,stop_name,ar,Al Tarfaya (Dahshour),طرفاية (دهشور)
stops,stop_name,ar,International Medical Center,المركز الطبي العالمي
stops,stop_name,ar,City Mall (Shorouq City),سيتي مول (الشروق)
stops,stop_name,ar,New terminal of 5th settlement,موقف التجمع الخامس الجديد
stops,stop_name,ar,10th of Ramadan City Entrance,مدخل مدينة العاشر من رمضان
stops,stop_name,ar,Petroleum Research Institute,معهد بحوث البترول المصري
stops,stop_name,ar,Mafariq - Megawra 1 (15th of May),مجورة 1 (مدينة ١٥ مايو)
stops,stop_name,ar,El Batran St.,شارع البطران
stops,stop_name,ar,Kattameya Traffic Department,ادارة المرور القطامية
stops,stop_name,ar,Mohamed Naguib Axis intersection,تقاطع محور محمد نجيب
stops,stop_name,ar,Suez Bridge Entrance to Ring Road,جسر السويس
stops,stop_name,ar,Nissan (Kattameya),نيسان (القطامية)
stops,stop_name,ar,Helwan Observatory,مرصد  حلوان
stops,stop_name,ar,Masaken Dahshour - Hassan Mall,مساكن دهشور - مول الحسن
stops,stop_name,ar,El Itihad Square (Maadi),ميدان الاتحاد (المعادي)
stops,stop_name,ar,Ibrahim Anwar Mosque (Al Zaytoun),مسجد إبراهيم أنور (الزيتون)
stops,stop_name,ar,Al Mosheer Tantawy Mosque,مسجد المشير طنطاوي
stops,stop_name,ar,Arayes (Maadi),عرايس (المعادي)
stops,stop_name,ar,Giza Governorate Authority,هيئة محافظة الجيزة
stops,stop_name,ar,KFC ( Faisal St. ),دجاج كنتاكي ( شارع  فيصل )
stops,stop_name,ar,Abboud,عبود
stops,stop_name,ar,Masaken dahshour terminal,موقف مساكن دهشور
stops,stop_name,ar,Degla Back (Badr tigers school),دجلة الخلفية - بدر تايجر
stops,stop_name,ar,Hadaek October Government Office,جهاز مدينة حدائق اكتوبر
stops,stop_name,ar,Al Nozha Al Gadeeda,النزهة الجديدة
stops,stop_name,ar,Koleyet Al Banat (Azhar University),كلية البنات (جامعة الأزهر)
stops,stop_name,ar,Masaken Betcho,مساكن بيتشو
stops,stop_name,ar,Abd Al Moneim Riad,عبد المنعم رياض
stops,stop_name,ar,Haram & Marioteya,الهرم المريوطية
stops,stop_name,ar,Al Tibeen,التبين
stops,stop_name,ar,Al Zawya Al Hamra,الزاوية الحمراء
stops,stop_name,ar,Al Khalafawy Square,ميدان الخلفاوي
stops,stop_name,ar,Faisal St.,شارع فيصل
stops,stop_name,ar,Haram Mashaal,الهرم مشعل
stops,stop_name,ar,Giza Helwan Bus Station,محطة حافلات الجيزة حلوان
stops,stop_name,ar,Bab Al Shaaria Square,ميدان باب الشعرية
stops,stop_name,ar,Moasasset Al Zakah,مؤسسة الزكاة
stops,stop_name,ar,Qism El Marg,قسم المرج
stops,stop_name,ar,Kerdasa Station,موقف كرداسة
stops,stop_name,ar,Om Bayoumi,ام بيومي
stops,stop_name,ar,Salam Alexandria,سلام الاسكندرية
stops,stop_name,ar,10th of Ramadan (Ismailiya Desert Rd.),العاشر من رمضان (طريق الإسماعيلية الصحراوي)
stops,stop_name,ar,Al Malek Al Saleh,الملك الصالح
stops,stop_name,ar,Saqr Quraish,صقر قريش
stops,stop_name,ar,Al Tabba (Nasr City),التبة  (مدينة نصر)
stops,stop_name,ar,Bulaq Dakrur,بولاق دكرور
stops,stop_name,ar,El Kafr (Birak Al Khiyam),الكفر (برك الخيام)
stops,stop_name,ar,Nahia,ناهية
stops,stop_name,ar,Kasr Al Ainy,قصر العيني
stops,stop_name,ar,Mohagreen (Ezbet Al Nakhl),مهاجرين (عزبة النخل)
stops,stop_name,ar,Faisal Tawabek,فيصل طوابق
stops,stop_name,ar,Imbaba,إمبابة
stops,stop_name,ar,Saqqara (Moroor),سقارة (المرور)
stops,stop_name,ar,Lotus (5th Settlement),لوتس (التجمع الخامس)
stops,stop_name,ar,Bashtil El Balad,بشتيل البلد
stops,stop_name,ar,Kit Kat Square,ميدان كيت كات
stops,stop_name,ar,Kafr AL Shurafa,كفر الشرفا
stops,stop_name,ar,Giza Square,ميدان الجيزة
stops,stop_name,ar,10th District (Nasr City),الحي العاشر (مدينة نصر)
stops,stop_name,ar,Al Khanka Local Unit,وحدة الخانكة المحلية
stops,stop_name,ar,Ring Rd. Exit to Khosous,مخرج خصوص من الطريق الدائري
stops,stop_name,ar,Abou Zaabal,أبو زعبل
stops,stop_name,ar,Abdullah El Refaey,عبد الله الرفاعي
stops,stop_name,ar,7 Omarat,السبع عمارات
stops,stop_name,ar,Masaken Othman (Ezbet El Nakhl),مساكن عثمان (عزبة النخل)
stops,stop_name,ar,Helmeyet Al Zatoun Metro,مترو حلمية الزيتون
stops,stop_name,ar,Al Hegaz Square,ميدان الحجاز
stops,stop_name,ar,Abbaseya Square,ميدان العباسية
stops,stop_name,ar,Al Demerdash Metro,مترو الدمرداش
stops,stop_name,ar,Ghamra,غمرة
stops,stop_name,ar,Al Mohandes Insurance (Ramses),المهندس للتأمين (رمسيس)
stops,stop_name,ar,Coptic Hospital,المستشفى القبطي
stops,stop_name,ar,Ahmed Helmy,أحمد حلمي
stops,stop_name,ar,Saray Al Qobba,سراي القبة
stops,stop_name,ar,Gesr Al Suez St. & Al Qobba St.,شارع جسر السويس مع شارع القبة
stops,stop_name,ar,Salah Al Din Square (Heliopolis),ميدان صلاح الدين (مصر الجديدة)
stops,stop_name,ar,Dabsha (Al Zaytoun),دبشة (الزيتون)
stops,stop_name,ar,Imbaba Police Station,مركز شرطة امبابة
stops,stop_name,ar,Ahmed Oraby St.,شارع احمد عرابي
stops,stop_name,ar,Al Salam International Hospital,مستشفى السلام الدولي
stops,stop_name,ar,Abou Al Reesh,ابو الريش
stops,stop_name,ar,Ahmed Maher Teaching Hospital,مستشفى احمد ماهر التعليمى
stops,stop_name,ar,Al Banat Mosque,مسجد البنات
stops,stop_name,ar,Zahraa Nasr City,زهراء مدينة نصر
stops,stop_name,ar,Armed Forces Medical Complex (Kobry Al Qobba),المجمع الطبي للقوات المسلحة (كوبري القبة)
stops,stop_name,ar,Al Tawheed Wal Nour (Al Geish St.),التوحيد والنور (شارع الجيش)
stops,stop_name,ar,Rabaah Al Adaweya Mosque,مسجد رابعة العدوية
stops,stop_name,ar,Abdeen,عابدين
stops,stop_name,ar,Imbaba Fevers Hospital,مستشفى إمبابة للحميات
stops,stop_name,ar,Hadabet Al Ahram,هضبة الاهرام
stops,stop_name,ar,Al Sekka Al Hadid Sporting Club (Nasr City),نادي السكة الحديد الرياضي (مدينة نصر)
stops,stop_name,ar,Ahmed Oraby Metro,مترو احمد عرابي
stops,stop_name,ar,Al Sayeda Aisha,السيدة عائشة
stops,stop_name,ar,Abbaseya Bridge Exit,اخر كوبري العباسية
stops,stop_name,ar,Lebanon Square,ميدان لبنان
stops,stop_name,ar,New Cairo Sporting Club,نادى القاهرة الجديدة
stops,stop_name,ar,3rd Settlement Station,التجمع الثالث
stops,stop_name,ar,Al Karma Compound Gate (Sheikh Zayed),بوابة كومباوند الكرمة (الشيخ زايد)
stops,stop_name,ar,Al Rawda & Al Horreya St.,شارع الروضة مع الحرية
stops,stop_name,ar,Zain Paint Store (Al Rawda Sheikh Zayed),محل زين للدهانات (الروضة الشيخ زايد)
stops,stop_name,ar,Hyper One (Sheikh Zayed),هايبر (الشيخ زايد)
stops,stop_name,ar,Al Marioteya Rd. & 26th of July Corridor,طريق المريوطية مع محور 26 يوليو
stops,stop_name,ar,Al Barageel Entrance,مدخل البراجيل
stops,stop_name,ar,Ring Rd. Steps 1 (26th of July Corridor),سلم الطريق الدائري 1 (محور 26 يوليو)
stops,stop_name,ar,Ring Rd. Steps 2 (26th of July Corridor),سلم الطريق الدائري 2 (محور 26 يوليو)
stops,stop_name,ar,Ard Al Lewa Steps (26th of July Corridor),سلم أرض اللواء (محور 26 يوليو)
stops,stop_name,ar,Zamalek Sporting Club,نادي الزمالك الرياضي
stops,stop_name,ar,Maspero Exit (15th of May Bridge),مخرج ماسبيرو (كوبري 15 مايو)
stops,stop_name,ar,Ahmed Saaed Bridge Exit,اخر كوبري أحمد سعيد
stops,stop_name,ar,Al Nour Mosque (Abbaseya),مسجد النور (العباسية)
stops,stop_name,ar,Gardenia Heights (5th Settlement),جاردينيا هايتس (التجمع الخامس)
stops,stop_name,ar,Al Nahda Square (5th Settlement),ميدان النهضة (التجمع الخامس)
stops,stop_name,ar,Baron Mall Pedestrian Bridge (Ring Rd.),جسر مشاة بارون مول (الطريق الدائري)
stops,stop_name,ar,Wataneya Gas Station (Kattameya Ring Rd.),محطة بنزين الوطنية (الطريق الدائري القطامية)
stops,stop_name,ar,Basateen Steps (Ring Rd.),سلم البساتين (الطريق الدائري)
stops,stop_name,ar,Ezbet Kheirallah Steps 2 (Ring Rd.),سلم عزبة خير الله 2 (الطريق الدائري)
stops,stop_name,ar,Mobil - Mall of Arabia,موبيل - مول العرب
stops,stop_name,ar,Al Bahr Al Aazam St. Exit Start,بداية مخرج البحر الاعظم
stops,stop_name,ar,Al Bahr Al Aazam St. Exit End,نهاية مخرج البحر الاعظم
stops,stop_name,ar,The Egyptian Lawyers Association,جمعية المحامين المصريين
stops,stop_name,ar,Faculty of Medicine - Ain Shams University,كلية الطب - جامعة عين شمس
stops,stop_name,ar,Abbaseya Hospital,مستشفى العباسية
stops,stop_name,ar,Al Azhar Pedestrian Bridge,جسر المشاة الأزهر
stops,stop_name,ar,Nasr City Sporting Club,نادي مدينة نصر الرياضي
stops,stop_name,ar,2nd Nasr City Police Station,قسم شرطة مدينة نصر 2
stops,stop_name,ar,Al Fath Superjet (Nasr City),الفتح سوبر جيت (مدينة نصر)
stops,stop_name,ar,Al Gamaia Al Sharaia (Nasr City),الجمعية الشرعية (مدينة نصر)
stops,stop_name,ar,Ahmed Al Sallab Mall (Nasr City),مول احمد السلاب
stops,stop_name,ar,7th District Station (Nasr City),موقف الحي السابع (مدينة نصر)
stops,stop_name,ar,Enppi,إنبي
stops,stop_name,ar,Kheir Zaman (Ahmed Al Zomor St.),خير زمان (أحمد الزمر)
stops,stop_name,ar,Car Market (Nasr City),سوق السيارات (مدينة نصر)
stops,stop_name,ar,Al Mothalath (Ahmed Al Zomor St.),المثلث (شارع أحمد الزمر)
stops,stop_name,ar,Vodafone (Ahmed Al Zomor St.),فودافون (أحمد الزمر)
stops,stop_name,ar,Moneeb,المنيب
stops,stop_name,ar,Emerald (New Cairo),الزمرد (القاهرة الجديدة)
stops,stop_name,ar,Swan Lake Compound (1st Settlement),كمبوند سوان ليك (التجمع الأول)
stops,stop_name,ar,Al Shabab Entrance (1st Settlement),مدخل الشباب (التجمع الأول)
stops,stop_name,ar,Al Rahman Mosque (1st Settlement),مسجد الرحمن (التجمع الأول)
stops,stop_name,ar,Al Tawheed Mosque (1st Settlement),مسجد التوحيد (التجمع الأول)
stops,stop_name,ar,Postal Office (1st Settlement),مكتب البريد (التجمع الأول)
stops,stop_name,ar,Ibrahim Al Rifaie School (1st Settlement),مدرسة إبراهيم الرفاعي (التجمع الأول)
stops,stop_name,ar,Didi Mall (1st Settlement),ديدي مول (التجمع الأول)
stops,stop_name,ar,Sky Mart Mall (1st Settlement),سكاي مارت مول (التجمع الأول)
stops,stop_name,ar,Higher Institute Of Marketing Commerce & Information Systems,المعهد العالي للتسويق التجاري ونظم المعلومات
stops,stop_name,ar,Board of Trustees (6th of October),مجلس الأمناء (السادس من أكتوبر)
stops,stop_name,ar,Al Motamayez Entrance (6th of October),مدخل المتميز
stops,stop_name,ar,Nile University,جامعة النيل
stops,stop_name,ar,Ceramica Cleopatra (Sheikh Zayed),سيراميكا كليوباترا (الشيخ زايد)
stops,stop_name,ar,Royal City Gate (Sheikh Zayed),بوابة رويال سيتي (الشيخ زايد)
stops,stop_name,ar,Alexandria Desert Rd. Steps (26th of July Corrdior),سلم طريق الاسكندرية الصحراوى (محور 26 يوليو)
stops,stop_name,ar,26th of July Corridor Entrance from Ring Rd.,مطلع المحور من الطريق الدائري
stops,stop_name,ar,Al Abeet Steps (Ring Rd.),سلم العبيط (الطريق الدائري)
stops,stop_name,ar,Cairo Festival City (South Teseen St.),كايرو فستيفال سيتي (شارع التسعين الجنوبي)
stops,stop_name,ar,Al Barageel Steps (Ring Rd.),سلم البراجيل (الطريق الدائري)
stops,stop_name,ar,Al Sekka (Ring Rd.),السكة (الطريق الدائري)
stops,stop_name,ar,Bashtil (Ring Rd.),بشتيل (الطريق الدائري)
stops,stop_name,ar,Ezbet Al Mofti Steps (Ring Rd.),خطوات عزبة المفتي (الطريق الدائري)
stops,stop_name,ar,Al Masabek Steps (Ring Rd.),خطوات المسابك (الطريق الدائري)
stops,stop_name,ar,Qawmeya Steps (Ring Rd.),سلم القومية من الطريق الدائرى
stops,stop_name,ar,Al Khouly Steps (Ring Rd.),سلم الخولي (الطريق الدائري)
stops,stop_name,ar,Al Bosta Steps (Ring Rd.),سلم البوسطة (الطريق الدائري)
stops,stop_name,ar,Al Warraq Exit (Ring Rd.),مخرج الوراق (الطريق الدائري)
stops,stop_name,ar,Total Gas Station Bassous (Ring Rd.),محطة بنزين توتال باسوس (الطريق الدائري)
stops,stop_name,ar,Al Bassous Steps - Ring Road,سلم الباسوس (الطريق الدائري)
stops,stop_name,ar,Qalyub Exit (Cairo Alexandria Agriculture Rd.),قليوب مخرج (طريق القاهرة الإسكندرية الزراعي)
stops,stop_name,ar,Moassasa Pedestrian Bridge,كوبري مشاة المعصرة
stops,stop_name,ar,Al Hawamdeyya,محطة الحوامدية للحافلات
stops,stop_name,ar,New Marg,المرج الجديد
stops,stop_name,ar,Ard Khedr Pedestrian Bridge (Shubra Al Kheima),كوبري ارض خضر للمشاة (شبرا الخيمة)
stops,stop_name,ar,Shubra Al Kheima Metro Station,محطة مترو شبرا الخيمة
stops,stop_name,ar,Obour Square (3rd Settlement),ميدان العبور
stops,stop_name,ar,Arabella Square,ميدان أرابيلا
stops,stop_name,ar,Gamal Abd Al Nasser Square (5th Settlement),ميدان جمال عبد الناصر (التجمع الخامس)
stops,stop_name,ar,New Cairo Academy (5th Settlement),معهد (التجمع الخامس)
stops,stop_name,ar,Ommal Square (5th Settlement),ميدان العمال (التجمع الخامس)
stops,stop_name,ar,Al Saraya Mall (5th Settlement),السرايا مول (التجمع الخامس)
stops,stop_name,ar,Akhnaton School,مدرسة اخناتون
stops,stop_name,ar,Silver Star Mall (5th Settlement),سيلفر ستار مول (التجمع الخامس)
stops,stop_name,ar,Al Manarah Center For International Conferences,مركز المنارة للمؤتمرات الدولية
stops,stop_name,ar,Cemeteries (Maadi),المقابر (المعادي)
stops,stop_name,ar,Al Shaheed Corridor,محور الشهيد
stops,stop_name,ar,Ahmed Badawi St.,شارع احمد بدوي
stops,stop_name,ar,Ramses Railway Station,محطة سكة حديد رمسيس
stops,stop_name,ar,Al Laimoon Bridge,موقف رمسيس
stops,stop_name,ar,Egyptian Media Production City,مدينة الانتاج الاعلامى المصرى
stops,stop_name,ar,Souq Al Gomla,سوق الجملة
stops,stop_name,ar,Ahram Gardens Resort (6th of October),منتجع حدائق الأهرام (6 أكتوبر)
stops,stop_name,ar,Mina Gate 4 (Hadayek Al Ahram),بوابة الميناء 4 (حدائق الاهرام)
stops,stop_name,ar,Hadayek Al Ahram Gate 3,بوابة حدائق الاهرام 3
stops,stop_name,ar,Al Fayoum Rd.,طريق الفيوم
stops,stop_name,ar,Khafraa Gate (Hadayek Al Ahram),بوابة خفرع (حدائق الاهرام)
stops,stop_name,ar,Khofo Gate (Hadayek Al Ahram),بوابة خوفو (حدائق الاهرام)
stops,stop_name,ar,Credit Agricole (Al Mansoureyya Rd.),كريدي اجريكول (طريق المنصورية)
stops,stop_name,ar,Roushdy Pharmacy (Al Remaya Square),صيدلية رشدي (ميدان الرماية)
stops,stop_name,ar,Al Shabrawy (Al Mansoureyya Rd.),الشبراوي (طريق المنصورية)
stops,stop_name,ar,QNB Bank (Haram St.),بنك QNB (شارع الهرم)
stops,stop_name,ar,Total (Haram Marioteya),محطة بنزين توتال (الهرم المريوطية)
stops,stop_name,ar,Al Mokhtabar (Haram St.),المختار (شارع الهرم)
stops,stop_name,ar,Al Areesh (Haram St.),العريش (شارع الهرم)
stops,stop_name,ar,Bayt Al Karam Al Shamy (Haram St.),بيت الكرم الشامي (شارع الهرم)
stops,stop_name,ar,Haram Talbeya,هرم طلبية
stops,stop_name,ar,Misr Gas Station (Giza Square),محطة بنزين مصر (ميدان الجيزة)
stops,stop_name,ar,Al Shaheed Square (Obour),ميدان الشهيد (العبور)
stops,stop_name,ar,Obour City Authority,جهاز مدينة العبور
stops,stop_name,ar,Obour Sporting Club,نادي العبور الرياضي
stops,stop_name,ar,Remaya 28,موقف الرماية ٢٨
stops,stop_name,ar,Ahmed Oraby Square (Obour),ميدان احمد عرابي (العبور)
stops,stop_name,ar,Ain Shams University (Obour),جامعة عين شمس (العبور)
stops,stop_name,ar,Al Tawheed Wal Nour (Obour),التوحيد والنور (العبور)
stops,stop_name,ar,Habitat (Obour),هابيتات (العبور)
stops,stop_name,ar,Amoun Fountain (Obour),نافورة امون (العبور)
stops,stop_name,ar,Obour Square,ميدان العبور
stops,stop_name,ar,Southern Gate Obour Market,سوق العبور البوابة الجنوبية
stops,stop_name,ar,Huckstep,هايكستب
stops,stop_name,ar,Ismailiya Desert Rd. & Belbeis Desert Rd.,طريق اسماعلية الصحراوى مع طريق بلبيس الصحراوى
stops,stop_name,ar,Al Salam Tunnel Ring Rd. Entrance,بداية نفق السلام الطريق الدائري
stops,stop_name,ar,New Marg Station,موثق المرج الجديد
stops,stop_name,ar,New Marg Exit (Ring Rd.),مخرج المرج الجديد (الطريق الدائري)
stops,stop_name,ar,Madbah Steps (Ring Rd.),خطوات المدبح (الطريق الدائري)
stops,stop_name,ar,29 St. & Al Hamd Square,شارع 29 مع ميدان الحمد
stops,stop_name,ar,Al Hamd Square Station,موقف ميدان الحمد
stops,stop_name,ar,Akhnaton Square (5th Settlement),ميدان بوري (التجمع الخامس)
stops,stop_name,ar,Vitrac Square (5th Settlement),ميدان فيتراك (التجمع الخامس)
stops,stop_name,ar,Bloom Bank (South Teseen St.),بنك بلوم (شارع التسعين الجنوبي)
stops,stop_name,ar,Total (Kattameya),محطة بنزين توتال (مدخل القطامية)
stops,stop_name,ar,Ikea (Cairo Festival City),ايكيا - كايرو فيستيفال سيتي
stops,stop_name,ar,Cairo Festival City Pedestrian Bridge (Ring Rd.),كايرو فستيفال سيتي للمشاة (الطريق الدائري)
stops,stop_name,ar,Nadi Al Baraka Steps (Ring Rd.),خطوات نادي البركة (الطريق الدائري)
stops,stop_name,ar,Hadayek Al Qobba Youth Center,مركز شباب حدائق القبة
stops,stop_name,ar,Sekket Al Waili,سكة الوايلي
stops,stop_name,ar,Manshiyat Al Gamal,منشية الجمل
stops,stop_name,ar,Al Salam,السلام
stops,stop_name,ar,Al Shaheed Corridor Pedestrian Bridge,جسر محور الشهيد للمشاة
stops,stop_name,ar,Masaken Almaza,مساكن الماظة
stops,stop_name,ar,Kia Motors (Joseph Tito St.),كيا موتورز (شارع جوزيف تيتو)
stops,stop_name,ar,Al Herafyeen (Gesr Al Suez),الحرفيين (جسر السويس)
stops,stop_name,ar,Huckstep Bridge Entrance,أول كوبري الهايكستب
stops,stop_name,ar,Al Othman Motors (Ring Rd.),العثمان للسيارات (الطريق الدائري)
stops,stop_name,ar,Al Gazaer Exit (Ring Rd.),مخرج الجزائر (الطريق الدائري)
stops,stop_name,ar,Dusit Hotel,فندق دوسيت
stops,stop_name,ar,Concord Plaza (5th Settlement),كونكورد بلازا (القاهرة الجديدة)
stops,stop_name,ar,American University in Cairo (AUC) Gate 1 (New Cairo),الجامعة الأمريكية بوابة 1
stops,stop_name,ar,Al Wehda Square,ميدان الوحدة
stops,stop_name,ar,Al Masah Hospital (Mahdy Arafa St.),مستشفى الماسة (مهدي عرفة)
stops,stop_name,ar,Ragab Sons (Mahdy Arafa St.),اولاد رجب (مهدي عرفة)
stops,stop_name,ar,Al Moemen Mosque,مسجد المؤمن
stops,stop_name,ar,Pizza Hut (Mostafa Al Nahas St.),بيتزا هت (مصطفى النحاس)
stops,stop_name,ar,Kids Land (Mostafa Al Nahas St.),كيدز لاند (مصطفى النحاس)
stops,stop_name,ar,Abbas Al Akkad St. & Mostafa Al Nahas St.,عباس العقاد مع مصطفى النحاس
stops,stop_name,ar,7th District (Nasr City),الحي السابع (مدينة نصر)
stops,stop_name,ar,Mall of Arabia,مول العرب
stops,stop_name,ar,Adidas Steps (Ring Rd.),سلم أديداس (الطريق الدائري)
stops,stop_name,ar,Leather and Tanning Company (Autostrad),شركة الجلود والدباغة (أوتوستراد)
stops,stop_name,ar,Al Magzar Al Aali (Autostrad),المجزر الالي (اوتوستراد)
stops,stop_name,ar,Al Imam Al Shafei Cemetaries (Autostrad),مقابر الإمام الشافعي (أوتوستراد)
stops,stop_name,ar,Al Khelaa St.,شارع الخلاء
stops,stop_name,ar,Al Abageyya,الاباجية
stops,stop_name,ar,Salah Al Din Citadel (Salah Salem),قلعة صلاح الدين (صلاح سالم)
stops,stop_name,ar,Abu Makarem Mosque (Al Waili),مسجد ابو مكارم (الوايلي)
stops,stop_name,ar,Saad Zaghloul Metro,مترو سعد زغلول
stops,stop_name,ar,Taki (Al Waili),تاكي (الوايلي)
stops,stop_name,ar,Greek Hospital,المستشفى اليوناني
